Bid Comparison Summary,,,
,,,
Estimate,Grand Total ($),,
1115_LACHMAN_APEX_2,"$1,378,112.98",,
tmp3lom_t_a.pdf,,,
Narrative,,,
Bid Comparison Narrative,,,
"_Narrative fallback: '\n  ""markdown""'_",,,
,,,
Key Cost Drivers,,,
•,"**Doors / Windows / Glass**: Primary $253,661 vs Comparison $1,733 (Δ $-251,928).",,
•,"**Overhead & Profit**: Primary $154,126 vs Comparison $0.00 (Δ $-154,126).",,
•,"**Other / Unclassified**: Primary $140,271 vs Comparison $8,888 (Δ $-131,383).",,
,,,
Suggested Follow-ups,,,
•,Review supporting estimate sections manually.,,
,,,
Key Category Deltas,,,
Category,1115_LACHMAN_APEX_2 ($),tmp3lom_t_a.pdf ($),Delta ($)
Doors / Windows / Glass,"$253,660.97","$1,732.73","-$251,928.24"
Overhead & Profit,"$154,126.00",$0.00,"-$154,126.00"
Other / Unclassified,"$140,271.14","$8,887.92","-$131,383.22"
Flooring,"$102,326.24","$2,350.00","-$99,976.24"
Cabinetry / Millwork,"$97,715.77",$0.00,"-$97,715.77"
Siding / Exterior Finishes,"$91,844.76",$0.00,"-$91,844.76"
